ds,yhat,yhat_lower,yhat_upper,actual,error,error_pct
2025-07-01,6094.336040041149,3626.861364009826,8545.995887915404,16223.629999999996,-10129.293959958846,-62.43543497946421
2025-08-01,10361.105946950276,7946.524413918453,12751.750166964115,11499.859999999997,-1138.7540530497208,-9.902329707054879
2025-09-01,7075.200234792217,4631.263030924158,9563.395701570318,14868.729999999996,-7793.529765207779,-52.41557123713848
2025-10-01,8701.770891294469,6219.394879938704,11265.134935572076,24588.620000000003,-15886.849108705534,-64.61057639145886
2025-11-01,9083.69518336775,6647.488566309618,11534.481599754421,4484.550000000002,4599.145183367748,102.55533294015555
2025-12-01,9661.741913779866,7056.159871194557,11946.990253152338,3719.710000000001,5942.031913779865,159.74449389279982
2026-01-01,17672.394162707307,15131.16771304472,20176.50653142202,3129.3100000000004,14543.084162707306,464.73772693364685
2026-02-01,11187.0839303101,8667.371551159265,13623.569635688464,3680.7100000000005,7506.373930310099,203.93820568070015
2026-03-01,4833.45683077979,2265.6740125756864,7504.489686412186,10282.739999999996,-5449.283169220206,-52.994466156104394
2026-04-01,12019.865462280293,9634.859541452186,14527.71204739603,13323.319999999994,-1303.454537719701,-9.78325625834778
2026-05-01,15367.583888055477,13040.765407655299,17908.27320553748,8014.070000000003,7353.513888055473,91.75754501839228
2026-06-01,6672.326911636337,4149.945817377281,9090.757723025561,18825.140000000014,-12152.813088363677,-64.55629593386114
