类型,货币,金额,汇率（相对本位币）,项目,分类,父类,账户,付款,收款,日期,标签,备注,clean_amount,amount_abs,flow_direction,clean_date,date_valid,clean_project,is_transfer,transfer_subtype,is_refund,is_loan,cny_amount,valid_for_stats,corrected_type,category_l1,category_l2,is_fixed_expense,is_travel,year,month,quarter,day_of_week,is_weekend,is_holiday,holiday_name,is_around_holiday,is_capital_expense,is_outlier,life_stage,month_complete,is_purchase_support
支出,CNY,¥-10,1,,停车费🅿️,su7,微信余额,,,2026/7/10 18:16,,,-10.0,10.0,支出,2026-07-10 18:16:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-37.19,1,,早午晚餐,日常消费,招商银行,,,2026/7/10 17:46,,,-37.19,37.19,支出,2026-07-10 17:46:00,True,,False,,False,False,37.19,True,支出,餐饮,正餐,False,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
支出,CNY,"¥-11,741.63",1,,车贷,su7,分期,,,2026/7/10 13:45,,,-11741.63,11741.63,支出,2026-07-10 13:45:00,True,,False,,False,False,11741.63,True,支出,车辆,车贷,True,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-293.56,1,,还款利息,,招商银行,,,2026/7/10 13:45,,账单分期 - 第12期,-293.56,293.56,支出,2026-07-10 13:45:00,True,,False,,False,True,293.56,False,支出,理财,利息收入-借贷,False,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
转账,CNY,"¥12,035.19",1,,信用卡还款,,,招行工资卡,招商银行,2026/7/10 13:45,,招商银行还款,12035.19,12035.19,转账,2026-07-10 13:45:00,True,,True,信用卡还款,False,True,12035.19,False,转账,转账,信用卡还款,False,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
转账,CNY,"¥11,741.63",1,,还款本金,,,招商银行,分期,2026/7/10 13:44,,账单分期 - 第12期,11741.63,11741.63,转账,2026-07-10 13:44:00,True,,True,信用卡还款,False,True,11741.63,False,转账,借贷,收回本金,False,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-21.90,1,,早午晚餐,日常消费,招商银行,,,2026/7/9 18:45,,,-21.9,21.9,支出,2026-07-09 18:45:00,True,,False,,False,False,21.9,True,支出,餐饮,正餐,False,False,2026,7,3,3,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-4.75,1,,过桥过路费,su7,微信余额,,,2026/7/9 18:16,,,-4.75,4.75,支出,2026-07-09 18:16:00,True,,False,,False,False,4.75,True,支出,车辆,过路费,False,False,2026,7,3,3,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-10,1,,停车费🅿️,su7,微信余额,,,2026/7/9 18:16,,,-10.0,10.0,支出,2026-07-09 18:16:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,7,3,3,False,False,,False,False,False,post_car,False,False
收入,CNY,¥1.39,1,,利息收入,其他收入,招行工资卡,,,2026/7/9 18:03,,,1.39,1.39,收入,2026-07-09 18:03:00,True,,False,,False,False,1.39,True,收入,理财,利息,False,False,2026,7,3,3,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-1.50,1,,公交/地铁/共享单车,交通,微信余额,,,2026/7/8 18:16,,,-1.5,1.5,支出,2026-07-08 18:16:00,True,,False,,False,False,1.5,True,支出,交通,公共交通,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-1.50,1,,公交/地铁/共享单车,交通,微信余额,,,2026/7/8 18:16,,,-1.5,1.5,支出,2026-07-08 18:16:00,True,,False,,False,False,1.5,True,支出,交通,公共交通,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
收入,CNY,¥1.35,1,,利息收入,其他收入,招行工资卡,,,2026/7/8 18:16,,,1.35,1.35,收入,2026-07-08 18:16:00,True,,False,,False,False,1.35,True,收入,理财,利息,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-10,1,,停车费🅿️,su7,微信余额,,,2026/7/8 18:16,,,-10.0,10.0,支出,2026-07-08 18:16:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-34.90,1,,早午晚餐,日常消费,微信余额,,,2026/7/8 18:15,,,-34.9,34.9,支出,2026-07-08 18:15:00,True,,False,,False,False,34.9,True,支出,餐饮,正餐,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
收入,CNY,¥1.44,1,,利息收入,其他收入,招行工资卡,,,2026/7/7 19:12,,,1.44,1.44,收入,2026-07-07 19:12:00,True,,False,,False,False,1.44,True,收入,理财,利息,False,False,2026,7,3,1,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-5.90,1,,吃喝,日常消费,招商银行,,,2026/7/7 19:12,,,-5.9,5.9,支出,2026-07-07 19:12:00,True,,False,,False,False,5.9,True,支出,餐饮,小吃饮品,False,False,2026,7,3,1,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-36.90,1,,早午晚餐,日常消费,招商银行,,,2026/7/7 18:21,,,-36.9,36.9,支出,2026-07-07 18:21:00,True,,False,,False,False,36.9,True,支出,餐饮,正餐,False,False,2026,7,3,1,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-10,1,,停车费🅿️,su7,招商银行,,,2026/7/7 8:21,,,-10.0,10.0,支出,2026-07-07 08:21:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,7,3,1,False,False,,False,False,False,post_car,False,False
收入,CNY,¥1.60,1,,利息收入,其他收入,招行工资卡,,,2026/7/6 18:09,,,1.6,1.6,收入,2026-07-06 18:09:00,True,,False,,False,False,1.6,True,收入,理财,利息,False,False,2026,7,3,0,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-36.90,1,,早午晚餐,日常消费,招商银行,,,2026/7/6 18:09,,,-36.9,36.9,支出,2026-07-06 18:09:00,True,,False,,False,False,36.9,True,支出,餐饮,正餐,False,False,2026,7,3,0,False,False,,False,False,False,post_car,False,False
收入,CNY,"¥2,000",1,,借出利息,,借出,,,2026/7/6 9:13,,,2000.0,2000.0,收入,2026-07-06 09:13:00,True,,False,,False,True,2000.0,False,收入,理财,利息收入-借贷,False,False,2026,7,3,0,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-1.50,1,,公交/地铁/共享单车,交通,微信余额,,,2026/7/6 9:13,,,-1.5,1.5,支出,2026-07-06 09:13:00,True,,False,,False,False,1.5,True,支出,交通,公共交通,False,False,2026,7,3,0,False,False,,False,False,False,post_car,False,False
转账,CNY,"¥4,000",1,,收款,,,借出,微信余额,2026/7/6 9:13,,多给2000,4000.0,4000.0,转账,2026-07-06 09:13:00,True,,True,账户互转,False,False,4000.0,False,转账,借贷,收回借款,False,False,2026,7,3,0,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-10,1,,停车费🅿️,su7,招商银行,,,2026/7/6 7:50,,,-10.0,10.0,支出,2026-07-06 07:50:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,7,3,0,False,False,,False,False,False,post_car,False,False
收入,CNY,¥1.31,1,,利息收入,其他收入,招行工资卡,,,2026/7/5 18:11,,,1.31,1.31,收入,2026-07-05 18:11:00,True,,False,,False,False,1.31,True,收入,理财,利息,False,False,2026,7,3,6,True,False,,False,False,False,post_car,False,False
支出,CNY,¥-22.60,1,,早午晚餐,日常消费,招商银行,,,2026/7/5 18:11,,,-22.6,22.6,支出,2026-07-05 18:11:00,True,,False,,False,False,22.6,True,支出,餐饮,正餐,False,False,2026,7,3,6,True,False,,False,False,False,post_car,False,False
支出,CNY,¥-30,1,,理发,护肤/理发,招商银行,,,2026/7/5 15:17,,,-30.0,30.0,支出,2026-07-05 15:17:00,True,,False,,False,False,30.0,True,支出,个护,理发,False,False,2026,7,3,6,True,False,,False,False,False,post_car,False,False
支出,CNY,¥-22.88,1,,早午晚餐,日常消费,招商银行,,,2026/7/5 15:17,,,-22.88,22.88,支出,2026-07-05 15:17:00,True,,False,,False,False,22.88,True,支出,餐饮,正餐,False,False,2026,7,3,6,True,False,,False,False,False,post_car,False,False
支出,CNY,¥62.25,1,,玩乐,日常消费,微信余额,,,2026/7/4 15:22,,麻将,62.25,62.25,支出,2026-07-04 15:22:00,True,,False,,True,False,62.25,True,收入,其他收入,未映射,False,False,2026,7,3,5,True,False,,False,False,False,post_car,False,False
支出,CNY,¥-83,1,,玩乐,日常消费,招商银行,,,2026/7/4 15:17,,麻将,-83.0,83.0,支出,2026-07-04 15:17:00,True,,False,,False,False,83.0,True,支出,娱乐,休闲玩乐,False,False,2026,7,3,5,True,False,,False,False,False,post_car,False,False
支出,CNY,¥-20,1,,停车费🅿️,su7,微信余额,,,2026/7/4 15:17,,,-20.0,20.0,支出,2026-07-04 15:17:00,True,,False,,False,False,20.0,True,支出,车辆,停车费,False,False,2026,7,3,5,True,False,,False,False,False,post_car,False,False
支出,CNY,¥-10,1,,停车费🅿️,su7,招商银行,,,2026/7/4 15:17,,,-10.0,10.0,支出,2026-07-04 15:17:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,7,3,5,True,False,,False,False,False,post_car,False,False
支出,CNY,¥-16,1,,停车费🅿️,su7,招商银行,,,2026/7/4 15:17,,,-16.0,16.0,支出,2026-07-04 15:17:00,True,,False,,False,False,16.0,True,支出,车辆,停车费,False,False,2026,7,3,5,True,False,,False,False,False,post_car,False,False
支出,CNY,¥-44.04,1,,早午晚餐,日常消费,招商银行,,,2026/7/4 15:17,,,-44.04,44.04,支出,2026-07-04 15:17:00,True,,False,,False,False,44.04,True,支出,餐饮,正餐,False,False,2026,7,3,5,True,False,,False,False,False,post_car,False,False
收入,CNY,¥1.31,1,,利息收入,其他收入,招行工资卡,,,2026/7/4 15:17,,,1.31,1.31,收入,2026-07-04 15:17:00,True,,False,,False,False,1.31,True,收入,理财,利息,False,False,2026,7,3,5,True,False,,False,False,False,post_car,False,False
支出,CNY,¥-105.58,1,,充电费,su7,招行工资卡,,,2026/7/3 18:41,,,-105.58,105.58,支出,2026-07-03 18:41:00,True,,False,,False,False,105.58,True,支出,车辆,充电费,False,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-10,1,,停车费🅿️,su7,招商银行,,,2026/7/3 18:41,,,-10.0,10.0,支出,2026-07-03 18:41:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
收入,CNY,¥1.38,1,,利息收入,其他收入,招行工资卡,,,2026/7/3 18:41,,,1.38,1.38,收入,2026-07-03 18:41:00,True,,False,,False,False,1.38,True,收入,理财,利息,False,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-27.90,1,,早午晚餐,日常消费,招商银行,,,2026/7/3 18:41,,,-27.9,27.9,支出,2026-07-03 18:41:00,True,,False,,False,False,27.9,True,支出,餐饮,正餐,False,False,2026,7,3,4,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-10,1,,停车费🅿️,su7,招商银行,,,2026/7/2 20:57,,,-10.0,10.0,支出,2026-07-02 20:57:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,7,3,3,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-12.50,1,,停车费🅿️,su7,招商银行,,,2026/7/2 20:57,,,-12.5,12.5,支出,2026-07-02 20:57:00,True,,False,,False,False,12.5,True,支出,车辆,停车费,False,False,2026,7,3,3,False,False,,False,False,False,post_car,False,False
收入,CNY,¥1.36,1,,利息收入,其他收入,招行工资卡,,,2026/7/2 20:57,,,1.36,1.36,收入,2026-07-02 20:57:00,True,,False,,False,False,1.36,True,收入,理财,利息,False,False,2026,7,3,3,False,False,,False,False,False,post_car,False,False
收入,CNY,¥1.41,1,,利息收入,其他收入,招行工资卡,,,2026/7/1 20:57,,,1.41,1.41,收入,2026-07-01 20:57:00,True,,False,,False,False,1.41,True,收入,理财,利息,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-128,1,,水电,房子,招商银行,,,2026/7/1 20:57,,6月电费,-128.0,128.0,支出,2026-07-01 20:57:00,True,,False,,False,False,128.0,True,支出,居住,水电,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
收入,CNY,"¥1,006.31",1,,利息收入,其他收入,北京公积金,,,2026/7/1 18:57,,,1006.31,1006.31,收入,2026-07-01 18:57:00,True,,False,,False,False,1006.31,True,收入,理财,利息,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-34.90,1,,早午晚餐,日常消费,招商银行,,,2026/7/1 18:07,,,-34.9,34.9,支出,2026-07-01 18:07:00,True,,False,,False,False,34.9,True,支出,餐饮,正餐,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
支出,CNY,¥12,1,,吃喝,日常消费,招行工资卡,,,2026/7/1 15:34,,人参茶,12.0,12.0,支出,2026-07-01 15:34:00,True,,False,,True,False,12.0,True,收入,餐饮,退款-小吃,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-10,1,,停车费🅿️,su7,招商银行,,,2026/7/1 7:41,,,-10.0,10.0,支出,2026-07-01 07:41:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
支出,CNY,¥-100,1,,手机话费,电子消费,招商银行,,,2026/7/1 6:43,,,-100.0,100.0,支出,2026-07-01 06:43:00,True,,False,,False,False,100.0,True,支出,数字消费,话费,True,False,2026,7,3,2,False,False,,False,False,False,post_car,False,False
收入,CNY,¥639.21,1,,工资收入,职业收入,上海公积金,,,2026/6/30 18:58,,,639.21,639.21,收入,2026-06-30 18:58:00,True,,False,,False,False,639.21,True,收入,工资,基本工资,False,False,2026,6,2,1,False,False,,False,False,False,post_car,True,False
收入,CNY,¥1.40,1,,利息收入,其他收入,招行工资卡,,,2026/6/30 18:58,,,1.4,1.4,收入,2026-06-30 18:58:00,True,,False,,False,False,1.4,True,收入,理财,利息,False,False,2026,6,2,1,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-23.60,1,,早午晚餐,日常消费,招商银行,,,2026/6/30 18:58,,,-23.6,23.6,支出,2026-06-30 18:58:00,True,,False,,False,False,23.6,True,支出,餐饮,正餐,False,False,2026,6,2,1,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-10.50,1,,早午晚餐,日常消费,招商银行,,,2026/6/30 12:54,,,-10.5,10.5,支出,2026-06-30 12:54:00,True,,False,,False,False,10.5,True,支出,餐饮,正餐,False,False,2026,6,2,1,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-10,1,,停车费🅿️,su7,招商银行,,,2026/6/30 12:54,,,-10.0,10.0,支出,2026-06-30 12:54:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,6,2,1,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-10,1,,停车费🅿️,su7,招商银行,,,2026/6/29 12:54,,,-10.0,10.0,支出,2026-06-29 12:54:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,6,2,0,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-34.90,1,,早午晚餐,日常消费,招商银行,,,2026/6/29 12:54,,,-34.9,34.9,支出,2026-06-29 12:54:00,True,,False,,False,False,34.9,True,支出,餐饮,正餐,False,False,2026,6,2,0,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-5.50,1,,早午晚餐,日常消费,招商银行,,,2026/6/29 12:54,,,-5.5,5.5,支出,2026-06-29 12:54:00,True,,False,,False,False,5.5,True,支出,餐饮,正餐,False,False,2026,6,2,0,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-10.50,1,,早午晚餐,日常消费,招商银行,,,2026/6/29 12:54,,,-10.5,10.5,支出,2026-06-29 12:54:00,True,,False,,False,False,10.5,True,支出,餐饮,正餐,False,False,2026,6,2,0,False,False,,False,False,False,post_car,True,False
收入,CNY,¥1.46,1,,利息收入,其他收入,招行工资卡,,,2026/6/29 12:54,,,1.46,1.46,收入,2026-06-29 12:54:00,True,,False,,False,False,1.46,True,收入,理财,利息,False,False,2026,6,2,0,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-7.60,1,,过桥过路费,su7,微信余额,,,2026/6/28 18:34,,,-7.6,7.6,支出,2026-06-28 18:34:00,True,,False,,False,False,7.6,True,支出,车辆,过路费,False,False,2026,6,2,6,True,False,,False,False,False,post_car,True,False
支出,CNY,¥-9.50,1,,过桥过路费,su7,微信余额,,,2026/6/28 18:34,,,-9.5,9.5,支出,2026-06-28 18:34:00,True,,False,,False,False,9.5,True,支出,车辆,过路费,False,False,2026,6,2,6,True,False,,False,False,False,post_car,True,False
收入,CNY,¥74.33,1,,经营所得,职业收入,招行工资卡,,,2026/6/28 12:54,,顺风车,74.33,74.33,收入,2026-06-28 12:54:00,True,,False,,False,False,74.33,True,收入,经营,副业收入,False,False,2026,6,2,6,True,False,,False,False,False,post_car,True,False
支出,CNY,¥-210.20,1,,医疗,,招商银行,,,2026/6/28 12:54,,挂号 + 中药,-210.2,210.2,支出,2026-06-28 12:54:00,True,,False,,False,False,210.2,True,支出,医疗,其他,False,False,2026,6,2,6,True,False,,False,False,False,post_car,True,False
支出,CNY,¥-20,1,,停车费🅿️,su7,招商银行,,,2026/6/28 12:54,,,-20.0,20.0,支出,2026-06-28 12:54:00,True,,False,,False,False,20.0,True,支出,车辆,停车费,False,False,2026,6,2,6,True,False,,False,False,False,post_car,True,False
支出,CNY,¥-20,1,,停车费🅿️,su7,招商银行,,,2026/6/28 12:54,,,-20.0,20.0,支出,2026-06-28 12:54:00,True,,False,,False,False,20.0,True,支出,车辆,停车费,False,False,2026,6,2,6,True,False,,False,False,False,post_car,True,False
支出,CNY,¥-18.90,1,,保养,su7,招商银行,,,2026/6/28 12:54,,洗车,-18.9,18.9,支出,2026-06-28 12:54:00,True,,False,,False,False,18.9,True,支出,车辆,保养,False,False,2026,6,2,6,True,False,,False,False,False,post_car,True,False
支出,CNY,¥-21.20,1,,早午晚餐,日常消费,招商银行,,,2026/6/28 12:54,,,-21.2,21.2,支出,2026-06-28 12:54:00,True,,False,,False,False,21.2,True,支出,餐饮,正餐,False,False,2026,6,2,6,True,False,,False,False,False,post_car,True,False
支出,CNY,¥-99,1,,吃喝,日常消费,招行工资卡,,,2026/6/28 12:54,,人参茶,-99.0,99.0,支出,2026-06-28 12:54:00,True,,False,,False,False,99.0,True,支出,餐饮,小吃饮品,False,False,2026,6,2,6,True,False,,False,False,False,post_car,True,False
支出,CNY,¥-23.20,1,,早午晚餐,日常消费,招商银行,,,2026/6/28 12:54,,,-23.2,23.2,支出,2026-06-28 12:54:00,True,,False,,False,False,23.2,True,支出,餐饮,正餐,False,False,2026,6,2,6,True,False,,False,False,False,post_car,True,False
收入,CNY,¥1.36,1,,利息收入,其他收入,招行工资卡,,,2026/6/28 12:54,,,1.36,1.36,收入,2026-06-28 12:54:00,True,,False,,False,False,1.36,True,收入,理财,利息,False,False,2026,6,2,6,True,False,,False,False,False,post_car,True,False
收入,CNY,¥1.36,1,,利息收入,其他收入,招行工资卡,,,2026/6/27 18:00,,,1.36,1.36,收入,2026-06-27 18:00:00,True,,False,,False,False,1.36,True,收入,理财,利息,False,False,2026,6,2,5,True,False,,False,False,False,post_car,True,False
支出,CNY,¥-24.90,1,,早午晚餐,日常消费,招商银行,,,2026/6/27 18:00,,,-24.9,24.9,支出,2026-06-27 18:00:00,True,,False,,False,False,24.9,True,支出,餐饮,正餐,False,False,2026,6,2,5,True,False,,False,False,False,post_car,True,False
支出,CNY,¥-27,1,,早午晚餐,日常消费,招商银行,,,2026/6/27 12:37,,,-27.0,27.0,支出,2026-06-27 12:37:00,True,,False,,False,False,27.0,True,支出,餐饮,正餐,False,False,2026,6,2,5,True,False,,False,False,False,post_car,True,False
支出,CNY,¥-5.50,1,,早午晚餐,日常消费,招商银行,,,2026/6/26 18:22,,,-5.5,5.5,支出,2026-06-26 18:22:00,True,,False,,False,False,5.5,True,支出,餐饮,正餐,False,False,2026,6,2,4,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-10.50,1,,早午晚餐,日常消费,招商银行,,,2026/6/26 18:22,,,-10.5,10.5,支出,2026-06-26 18:22:00,True,,False,,False,False,10.5,True,支出,餐饮,正餐,False,False,2026,6,2,4,False,False,,False,False,False,post_car,True,False
收入,CNY,¥1.40,1,,利息收入,其他收入,招行工资卡,,,2026/6/26 18:22,,,1.4,1.4,收入,2026-06-26 18:22:00,True,,False,,False,False,1.4,True,收入,理财,利息,False,False,2026,6,2,4,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-35.70,1,,早午晚餐,日常消费,招商银行,,,2026/6/26 18:22,,,-35.7,35.7,支出,2026-06-26 18:22:00,True,,False,,False,False,35.7,True,支出,餐饮,正餐,False,False,2026,6,2,4,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-10,1,,停车费🅿️,su7,招商银行,,,2026/6/26 7:35,,,-10.0,10.0,支出,2026-06-26 07:35:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,6,2,4,False,False,,False,False,False,post_car,True,False
收入,CNY,¥1.39,1,,利息收入,其他收入,招行工资卡,,,2026/6/25 18:34,,,1.39,1.39,收入,2026-06-25 18:34:00,True,,False,,False,False,1.39,True,收入,理财,利息,False,False,2026,6,2,3,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-25,1,,早午晚餐,日常消费,微信余额,,,2026/6/25 18:34,,,-25.0,25.0,支出,2026-06-25 18:34:00,True,,False,,False,False,25.0,True,支出,餐饮,正餐,False,False,2026,6,2,3,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-9.90,1,,早午晚餐,日常消费,招商银行,,,2026/6/25 18:34,,,-9.9,9.9,支出,2026-06-25 18:34:00,True,,False,,False,False,9.9,True,支出,餐饮,正餐,False,False,2026,6,2,3,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-10.50,1,,早午晚餐,日常消费,招商银行,,,2026/6/25 12:08,,,-10.5,10.5,支出,2026-06-25 12:08:00,True,,False,,False,False,10.5,True,支出,餐饮,正餐,False,False,2026,6,2,3,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-5.50,1,,早午晚餐,日常消费,招商银行,,,2026/6/25 8:23,,,-5.5,5.5,支出,2026-06-25 08:23:00,True,,False,,False,False,5.5,True,支出,餐饮,正餐,False,False,2026,6,2,3,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-2.90,1,,吃喝,日常消费,招商银行,,,2026/6/25 7:44,,,-2.9,2.9,支出,2026-06-25 07:44:00,True,,False,,False,False,2.9,True,支出,餐饮,小吃饮品,False,False,2026,6,2,3,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-10,1,,停车费🅿️,su7,招商银行,,,2026/6/25 7:43,,,-10.0,10.0,支出,2026-06-25 07:43:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,6,2,3,False,False,,False,False,False,post_car,True,False
收入,CNY,¥1.31,1,,利息收入,其他收入,招行工资卡,,,2026/6/24 17:47,,,1.31,1.31,收入,2026-06-24 17:47:00,True,,False,,False,False,1.31,True,收入,理财,利息,False,False,2026,6,2,2,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-36.90,1,,早午晚餐,日常消费,招商银行,,,2026/6/24 17:47,,,-36.9,36.9,支出,2026-06-24 17:47:00,True,,False,,False,False,36.9,True,支出,餐饮,正餐,False,False,2026,6,2,2,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-4.50,1,,早午晚餐,日常消费,招商银行,,,2026/6/24 11:58,,,-4.5,4.5,支出,2026-06-24 11:58:00,True,,False,,False,False,4.5,True,支出,餐饮,正餐,False,False,2026,6,2,2,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-10.50,1,,早午晚餐,日常消费,招商银行,,,2026/6/24 11:58,,,-10.5,10.5,支出,2026-06-24 11:58:00,True,,False,,False,False,10.5,True,支出,餐饮,正餐,False,False,2026,6,2,2,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-10,1,,停车费🅿️,su7,微信余额,,,2026/6/24 7:51,,,-10.0,10.0,支出,2026-06-24 07:51:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,6,2,2,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-42.90,1,,会员,电子消费,微信余额,,,2026/6/24 7:51,,VPN,-42.9,42.9,支出,2026-06-24 07:51:00,True,,False,,False,False,42.9,True,支出,数字消费,会员订阅,True,False,2026,6,2,2,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-10.50,1,,早午晚餐,日常消费,招商银行,,,2026/6/23 17:28,,,-10.5,10.5,支出,2026-06-23 17:28:00,True,,False,,False,False,10.5,True,支出,餐饮,正餐,False,False,2026,6,2,1,False,False,,False,False,False,post_car,True,False
收入,CNY,¥1.37,1,,利息收入,其他收入,招行工资卡,,,2026/6/23 17:28,,,1.37,1.37,收入,2026-06-23 17:28:00,True,,False,,False,False,1.37,True,收入,理财,利息,False,False,2026,6,2,1,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-24.10,1,,早午晚餐,日常消费,招商银行,,,2026/6/23 17:28,,,-24.1,24.1,支出,2026-06-23 17:28:00,True,,False,,False,False,24.1,True,支出,餐饮,正餐,False,False,2026,6,2,1,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-10,1,,停车费🅿️,su7,微信余额,,,2026/6/23 9:33,,,-10.0,10.0,支出,2026-06-23 09:33:00,True,,False,,False,False,10.0,True,支出,车辆,停车费,False,False,2026,6,2,1,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-5.50,1,,早午晚餐,日常消费,招商银行,,,2026/6/23 9:33,,,-5.5,5.5,支出,2026-06-23 09:33:00,True,,False,,False,False,5.5,True,支出,餐饮,正餐,False,False,2026,6,2,1,False,False,,False,False,False,post_car,True,False
支出,CNY,¥-10,1,,过桥过路费,su7,微信余额,,,2026/6/23 9:33,,,-10.0,10.0,支出,2026-06-23 09:33:00,True,,False,,False,False,10.0,True,支出,车辆,过路费,False,False,2026,6,2,1,False,False,,False,False,False,post_car,True,False
收入,CNY,¥1.43,1,,利息收入,其他收入,招行工资卡,,,2026/6/22 18:27,,,1.43,1.43,收入,2026-06-22 18:27:00,True,,False,,False,False,1.43,True,收入,理财,利息,False,False,2026,6,2,0,False,False,,True,False,False,post_car,True,False
支出,CNY,¥-9.50,1,,过桥过路费,su7,微信余额,,,2026/6/22 18:27,,,-9.5,9.5,支出,2026-06-22 18:27:00,True,,False,,False,False,9.5,True,支出,车辆,过路费,False,False,2026,6,2,0,False,False,,True,False,False,post_car,True,False
支出,CNY,¥-23.90,1,,早午晚餐,日常消费,招商银行,,,2026/6/22 18:27,,,-23.9,23.9,支出,2026-06-22 18:27:00,True,,False,,False,False,23.9,True,支出,餐饮,正餐,False,False,2026,6,2,0,False,False,,True,False,False,post_car,True,False
支出,CNY,¥-9,1,,早午晚餐,日常消费,招商银行,,,2026/6/22 14:33,,,-9.0,9.0,支出,2026-06-22 14:33:00,True,,False,,False,False,9.0,True,支出,餐饮,正餐,False,False,2026,6,2,0,False,False,,True,False,False,post_car,True,False
支出,CNY,¥-7.60,1,,过桥过路费,su7,微信余额,,,2026/6/22 14:33,,,-7.6,7.6,支出,2026-06-22 14:33:00,True,,False,,False,False,7.6,True,支出,车辆,过路费,False,False,2026,6,2,0,False,False,,True,False,False,post_car,True,False
支出,CNY,"¥-11,741.67",1,,车贷,su7,分期,,,2026/6/22 9:11,,,-11741.67,11741.67,支出,2026-06-22 09:11:00,True,,False,,False,False,11741.67,True,支出,车辆,车贷,True,False,2026,6,2,0,False,False,,True,False,False,post_car,True,False
